Family,Genus,Species,Authority,Chromosome number,Ploidy level,Estimation method,Voucher,1C (pg),Original Reference,Lifecycle,Group,Paper,Name,History of Polyploidy,Repeated Sample,Non-multiple,Minimum,Missing Data,Possible Hybrid,Both,Chromploid
MYRTACEAE,Acca,sellowiana,(O.Berg) Burret,22,2,FC:PI,Y,0.25,"Ribeiro da Costa et al., 2008 (Ref. 651)",P,Eudicot,2012,Acca_sellowiana,,,,1,,,1,1
MYRTACEAE,Accara,elegans,(DC.) Landrum,22,2,FC:PI,Y,0.25,"Ribeiro da Costa et al., 2008 (Ref. 651)",P,Eudicot,2012,Accara_elegans,,,,1,,,1,1
SAPINDACEAE,Acer,campestre,L.,26,2,FC:PI,Y,0.69,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Acer_campestre,1,,,1,,,1,1
SAPINDACEAE,Acer,campestre,L.,52,4,FC:PI,Y,1.35,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Acer_campestre,1,,,0,,,1,0
SAPINDACEAE,Acer,carpinifolium,Sieb. & Zucc.,52,4,Fe,?,0.38,"Olszewska and Osiecka, 1984 (Ref. 157)",P,Eudicot,1991,Acer_carpinifolium,,,,1,,,1,1
SAPINDACEAE,Acer,heldreichii,Orph. ex Boiss.,52,4,FC:PI,Y,1.29,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Acer_heldreichii,,,,1,,,1,1
SAPINDACEAE,Acer,intermedium,Pancic,26,2,FC:PI,Y,0.75,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Acer_intermedium,,,,1,,,1,1
SAPINDACEAE,Acer,monspessulanum,L.,26,2,FC:PI,Y,0.73,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Acer_monspessulanum,,,,1,,,1,1
SAPINDACEAE,Acer,negundo,L.,,,FC:PI,N,0.54,"Loureiro et al., 2007 (Ref. 563)",P,Eudicot,2011,Acer_negundo,,,,1,,,,0
SAPINDACEAE,Acer,obtusatum,Waldst. & Kit. ex Willd.,26,2,FC:PI,Y,0.78,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Acer_obtusatum,,,,1,,,1,1
SAPINDACEAE,Acer,platanoides,L.,26,2,FC:PI,Y,0.71,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Acer_platanoides,,,,1,,,1,1
SAPINDACEAE,Acer,pseudoplatanus,L.,52,4,FC:PI,Y,1.35,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Acer_pseudoplatanus,,,,1,,,1,1
SAPINDACEAE,Acer,tataricum,L.,26,2,FC:PI,Y,0.6,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Acer_tataricum,,,,1,,,1,1
SAPINDACEAE,Acer,x bornmuelleri,Borbas,26,2,FC:PI,Y,0.7,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Acer_x bornmuelleri,1,,,1,,,1,1
SAPINDACEAE,Acer,x bornmuelleri,Borbas,39,3,FC:PI,Y,1.04,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Acer_x bornmuelleri,1,,,0,,,1,0
ASTERACEAE,Achillea,abrotanoides,Vis.,18,2,Fe,Y,2.78,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_abrotanoides,,,,1,,,1,1
ASTERACEAE,Achillea,ageratifolia,(Sibth. & Sm.) Boiss.,18,2,Fe,Y,2.9,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_ageratifolia,,,,1,,,1,1
ASTERACEAE,Achillea,ageratum,L.,18,2,Fe,Y,3,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_ageratum,,,,1,,,1,1
ASTERACEAE,Achillea,asiatica,Serg.,36,4,Fe,Y,4.95,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_asiatica,,,,1,,,1,1
ASTERACEAE,Achillea,asplenifolia,Vent.,18,2,Fe,Y,3.13,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_asplenifolia,,,,1,,,1,1
ASTERACEAE,Achillea,biebersteinii,Afanasiev,18,2,Fe,Y,2.63,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_biebersteinii,,,,1,,,1,1
ASTERACEAE,Achillea,borealis,Bong.,54,6,Fe,Y,7.43,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_borealis,,,,1,,,1,1
ASTERACEAE,Achillea,chamaemelifolia,Pourr.,18,2,Fe,Y,3.38,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_chamaemelifolia,,,,1,,,1,1
ASTERACEAE,Achillea,clavennae,L.,18,2,Fe,Y,3.05,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_clavennae,,,,1,,,1,1
ASTERACEAE,Achillea,clypeolata,Sibth. & Sm.,18,2,Fe,Y,2.7,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_clypeolata,,,,1,,,1,1
ASTERACEAE,Achillea,coarctata,Poiret,18,2,FC:PI,Y,2.78,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Achillea_coarctata,,,,1,,,1,1
ASTERACEAE,Achillea,collina,J.Becker ex Reichenb.,36,4,Fe,Y,4.95,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_collina,,,,1,,,1,1
ASTERACEAE,Achillea,compacta,Willd.,18,2,Fe,Y,2.45,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_compacta,,,,1,,,1,1
ASTERACEAE,Achillea,crithmifolia,Waldst. & Kit.,18,2,Fe,Y,2.45,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_crithmifolia,1,,,1,,,1,1
ASTERACEAE,Achillea,crithmifolia,Waldst. & Kit.,36,4,Fe,Y,5.25,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_crithmifolia,1,,,0,,,1,0
ASTERACEAE,Achillea,distans,Waldst. & Kit.,54,6,Fe,Y,8.75,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_distans,,,,1,,,1,1
ASTERACEAE,Achillea,erba-rotta,All.,18,2,Fe,Y,2.68,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_erba-rotta,,,,1,,,1,1
ASTERACEAE,Achillea,filipendulina,Lam.,18,2,Fe,Y,2.9,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_filipendulina,,,,1,,,1,1
ASTERACEAE,Achillea,glaberrima,Klok.,18,2,Fe,Y,2.83,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_glaberrima,,,,1,,,1,1
ASTERACEAE,Achillea,grandifolia,Friv.,18,2,Fe,Y,3.28,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_grandifolia,,,,1,,,1,1
ASTERACEAE,Achillea,impatiens,L.,18,2,Fe,Y,3.05,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_impatiens,,,,1,,,1,1
ASTERACEAE,Achillea,lanulosa,Nutt.,36,4,Fe,Y,5.05,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_lanulosa,,,,1,,,1,1
ASTERACEAE,Achillea,ligustica,All.,18,2,Fe,Y,3.25,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_ligustica,,,,1,,,1,1
ASTERACEAE,Achillea,lingulata,Waldst. & Kit.,18,2,Fe,Y,3.28,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_lingulata,,,,1,,,1,1
ASTERACEAE,Achillea,macrophylla,L.,18,2,Fe,Y,3.1,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_macrophylla,,,,1,,,1,1
ASTERACEAE,Achillea,millefolium,L.,54,6,Fe,?,7.65,"Mowforth, 1986 (Ref. 158)",P,Eudicot,1991,Achillea_millefolium,,,,1,,,1,1
ASTERACEAE,Achillea,montana,Schleich. ex DC,,,FC:PI,N,2.1,"Zonneveld et al., 2005 (Ref. 466)",P,Eudicot,2005b,Achillea_montana,,,,1,,,,0
ASTERACEAE,Achillea,nobilis,L.,18,2,Fe,Y,2.68,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_nobilis,,,,1,,,1,1
ASTERACEAE,Achillea,ochroleuca,Ehrh.,18,2,Fe,Y,2.9,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_ochroleuca,,,,1,,,1,1
ASTERACEAE,Achillea,pannonica,Scheele,72,8,Fe,Y,10.33,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_pannonica,,,,1,,,1,1
ASTERACEAE,Achillea,ptarmica,L.,18,2,Fe,Y,2.9,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_ptarmica,,,,1,,,1,1
ASTERACEAE,Achillea,salicifolia,Bess.,18,2,Fe,Y,3.13,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_salicifolia,,,,1,,,1,1
ASTERACEAE,Achillea,setacea,Waldst. & Kit.,18,2,Fe,Y,2.93,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_setacea,,,,1,,,1,1
ASTERACEAE,Achillea,sibirica,Ledeb.,36,4,Fe,Y,5.13,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_sibirica,,,,1,,,1,1
ASTERACEAE,Achillea,stricta,Schleich. ex Grembli (Koch),54,6,Fe,Y,7.45,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_stricta,,,,1,,,1,1
ASTERACEAE,Achillea,sulphurea,Boiss.,18,2,Fe,Y,2.73,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_sulphurea,,,,1,,,1,1
ASTERACEAE,Achillea,tanacetifolia,All.,54,6,Fe,Y,7.73,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_tanacetifolia,,,,1,,,1,1
ASTERACEAE,Achillea,teretifolia,Willd.,18,2,Fe,Y,2.55,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_teretifolia,,,,1,,,1,1
ASTERACEAE,Achillea,tomentosa,L.,18,2,Fe,Y,2.98,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_tomentosa,,,,1,,,1,1
ASTERACEAE,Achillea,vermicularis,Trin.,18,2,Fe,Y,2.88,"Dabrowska J., 1992 (Ref. 326)",P,Eudicot,2000,Achillea_vermicularis,,,,1,,,1,1
ASTERACEAE,Achillea,vulgaris,,,,FC:PI,N,2.25,"Zonneveld et al., 2005 (Ref. 466)",P,Eudicot,2005b,Achillea_vulgaris,,,,1,,,,0
POACEAE,Achnatherum,petriei,(Buchanan) S.W.L.Jacobs & J.Everett,42,6,FC:PI,Y,0.89,"Murray et al., 2005 (Ref. 528)",P,Monocot,2011,Achnatherum_petriei,,,,1,,,1,1
ASTERACEAE,Achyrocline,alata,(Kunth) DC.,28,2,FC:PI,Y,3.02,"Mazzella et al., 2010 (Ref. 660)",A,Eudicot,2012,Achyrocline_alata,,,,1,,,1,1
ASTERACEAE,Achyrocline,crassiuscula,(Malme) Deble & Marchiori,28,2,FC:PI,Y,2.95,"Mazzella et al., 2010 (Ref. 660)",A,Eudicot,2012,Achyrocline_crassiuscula,,,,1,,,1,1
ASTERACEAE,Achyrocline,flaccida,(Weinm.) DC.,28,2,FC:PI,Y,2.87,"Mazzella et al., 2010 (Ref. 660)",A,Eudicot,2012,Achyrocline_flaccida,,,,1,,,1,1
ASTERACEAE,Achyrocline,satureioides,(Lam) DC.,28,2,FC:PI,Y,2.87,"Mazzella et al., 2010 (Ref. 660)",A,Eudicot,2012,Achyrocline_satureioides,,,,1,,,1,1
RANUNCULACEAE,Aconitum,vulparia,Reichb.,16,2,FC:PI,Y,5.44,"Siljak-Yakovlev et al., 2010 (Ref. 634)",P,Eudicot,2012,Aconitum_vulparia,,,,1,,,1,1
ACORACEAE,Acorus,calamus,L.,,,FC:PI,Y,0.65,"Bharathan et al., 1994 (Ref. 272)",P,Monocot,1997,Acorus_calamus,,,,1,,,,0
ACORACEAE,Acorus,gramineus,Ait.,,,FC:PI,Y,0.4,"Bharathan et al., 1994 (Ref. 272)",P,Monocot,1997,Acorus_gramineus,,,,1,,,,0
